_date,total_clones,unique_clones
2025-03-01,1,1
2025-03-04,1,1
2025-03-05,3,3
2025-03-06,1,1
2025-03-07,3,3
2025-03-08,2,2
2025-03-10,4,4
2025-03-11,15,7
2025-03-13,15,6
2025-03-14,1,1
2025-03-16,1,1
2025-03-17,9,2
2025-03-20,17,2
2025-03-21,7,3
2025-03-22,24,7
2025-03-23,1,1
2025-03-25,2,2
2025-03-26,9,2
2025-03-27,32,3
2025-03-29,1,1
2025-03-30,7,4
2025-03-31,8,4
2025-04-04,2,2
2025-04-05,1,1
2025-04-06,2,2
2025-04-07,4,3
2025-04-13,2,2
2025-04-14,1,1
2025-04-20,1,1
2025-04-23,2,2
2025-04-24,7,2
2025-04-26,1,1
2025-04-27,1,1
2025-04-28,2,1
2025-05-02,1,1
2025-05-04,1,1
2025-05-05,2,1
2025-05-06,4,1
2025-05-11,1,1
2025-05-12,2,1
2025-05-13,10,5
2025-05-14,1,1
2025-05-15,13,3
2025-05-16,2,1
2025-05-17,1,1
2025-05-18,1,1
2025-05-19,3,2
2025-05-21,42,7
2025-05-22,2,2
2025-05-23,1,1
2025-05-24,1,1
2025-05-25,2,2
2025-05-26,3,2
2025-05-29,6,3
2025-06-01,2,2
2025-06-02,21,5
2025-06-04,5,2
2025-06-06,1,1
2025-06-07,2,2
2025-06-08,2,2
2025-06-09,7,3
2025-06-10,4,1
2025-06-11,6,3
2025-06-12,2,2
2025-06-13,1,1
2025-06-15,2,2
2025-06-16,3,3
2025-06-17,6,3
2025-06-22,2,2
2025-06-28,1,1
2025-06-29,1,1
2025-06-30,1,1
2025-07-01,2,2
2025-07-02,2,2
2025-07-06,2,2
2025-07-10,1,1
2025-07-11,1,1
2025-07-12,1,1
