_date,total_views,unique_views
2025-02-27,7,2
2025-02-28,2,2
2025-03-01,3,1
2025-03-02,1,1
2025-03-03,15,2
2025-03-04,19,5
2025-03-05,21,6
2025-03-06,2,2
2025-03-07,17,4
2025-03-08,4,3
2025-03-09,2,1
2025-03-10,8,5
2025-03-11,35,5
2025-03-12,18,3
2025-03-13,91,3
2025-03-14,14,5
2025-03-16,13,1
2025-03-17,72,6
2025-03-18,60,8
2025-03-19,30,8
2025-03-20,45,5
2025-03-21,17,2
2025-03-22,63,3
2025-03-23,49,2
2025-03-24,62,7
2025-03-25,26,13
2025-03-26,19,6
2025-03-27,77,3
2025-03-28,49,16
2025-03-29,1,1
2025-03-30,7,2
2025-03-31,17,6
2025-04-01,7,4
2025-04-02,22,9
2025-04-03,17,4
2025-04-04,15,4
2025-04-05,4,2
2025-04-06,4,1
2025-04-07,10,5
2025-04-08,7,5
2025-04-09,10,3
2025-04-10,13,7
2025-04-11,11,2
2025-04-13,7,2
2025-04-14,12,5
2025-04-15,12,4
2025-04-16,4,2
2025-04-17,5,2
2025-04-18,13,4
2025-04-19,1,1
2025-04-21,21,5
2025-04-22,18,9
2025-04-23,19,2
2025-04-24,11,2
2025-04-25,6,1
2025-04-27,4,1
2025-04-28,8,1
2025-04-29,4,2
2025-04-30,10,4
2025-05-01,5,3
2025-05-02,7,3
2025-05-03,1,1
2025-05-05,18,3
2025-05-06,13,2
2025-05-07,8,4
2025-05-08,18,2
2025-05-09,15,5
2025-05-11,20,2
2025-05-12,23,3
2025-05-13,74,2
2025-05-14,7,3
2025-05-15,32,3
2025-05-16,17,2
2025-05-17,9,1
2025-05-19,1,1
2025-05-20,11,3
2025-05-21,40,3
2025-05-22,5,2
2025-05-23,23,2
2025-05-25,1,1
2025-05-27,23,5
2025-05-28,10,3
2025-05-29,15,5
2025-05-30,19,4
2025-05-31,8,3
2025-06-02,37,4
2025-06-03,6,3
2025-06-04,29,4
2025-06-05,1,1
2025-06-06,1,1
2025-06-07,7,2
2025-06-09,94,6
2025-06-10,80,7
2025-06-11,10,4
2025-06-12,4,4
2025-06-13,1,1
2025-06-16,50,3
2025-06-17,25,3
2025-06-18,3,2
2025-06-20,12,4
2025-06-22,1,1
2025-06-23,21,4
2025-06-24,22,5
2025-06-25,32,3
2025-06-26,17,2
2025-06-27,1,1
2025-06-28,6,1
2025-06-30,5,1
2025-07-01,2,2
2025-07-02,15,5
2025-07-04,1,1
2025-07-05,1,1
2025-07-06,1,1
2025-07-07,5,1
2025-07-09,4,2
2025-07-10,5,3
2025-07-11,65,29
2025-07-12,40,13
2025-07-13,13,6
